movie_id,department,gender,job,name
1088,Directing,1.0,Director,Niki Caro
1089,Directing,1.0,Director,Kathryn Bigelow
1091,Directing,1.0,Script Supervisor,Christine Wilson
1213,Directing,1.0,Script Supervisor,Dianne Dreyer
1245,Directing,1.0,Script Supervisor,Diana Dill
1248,Directing,1.0,Script Supervisor,Laura Goulding
1262,Directing,1.0,Other,Alyson Latz
1359,Directing,1.0,Script Supervisor,Dawn Sorokolit
1359,Directing,1.0,Director,Mary Harron
1360,Directing,1.0,Director,Julie Taymor
1366,Directing,1.0,Script Supervisor,Bonnie Prendergast
1382,Directing,1.0,Director,Miranda July
1418,Directing,1.0,Director,Icíar Bollaín
1421,Directing,1.0,Assistant Director,Suzanne Schiffman
1443,Directing,1.0,Director,Sofia Coppola
1480,Directing,1.0,Script Supervisor,Betty A. Griffin
1492,Directing,1.0,Script Supervisor,Luca Kouimelis
1493,Directing,1.0,Script Supervisor,Pam Fuller
1495,Directing,1.0,Script Supervisor,Anna Worley
1535,Directing,1.0,Script Supervisor,Anna Worley
1541,Directing,1.0,Script Supervisor,Luca Kouimelis
1551,Directing,1.0,Script Supervisor,Pamela Alch
1573,Directing,1.0,Script Supervisor,Annette Haywood-Carter
1580,Directing,1.0,Script Supervisor,Charlsie Bryant
1581,Directing,1.0,Director,Nancy Meyers
1583,Directing,1.0,Assistant Director,Isabel Kleefeld
1584,Directing,1.0,Script Supervisor,Julie Oppenheimer
1590,Directing,1.0,Director,Agnieszka Holland
1591,Directing,1.0,Director,Caroline Link
1596,Directing,1.0,Director,Michelle MacLaren
1597,Directing,1.0,Script Supervisor,Eva Z. Cabrera
1600,Directing,1.0,Script Supervisor,Christine Raffa-Catonné
1626,Directing,1.0,Script Supervisor,Suzanne Schiffman
1627,Directing,1.0,Assistant Director,Suzanne Schiffman
1631,Directing,1.0,Director,Catherine Breillat
1635,Directing,1.0,Script Supervisor,Karen Golden
1639,Directing,1.0,Script Supervisor,Trudy Ramirez
1641,Directing,1.0,Director,Bronwen Hughes
1641,Directing,1.0,Script Supervisor,Cate Hardman
1646,Directing,1.0,Script Supervisor,Brenda Lopez
1647,Directing,1.0,Second Assistant Director,Penny Charter
1647,Directing,1.0,Script Supervisor,Samantha Armstrong
1660,Directing,1.0,Assistant Director,Suzanne Schiffman
1675,Directing,1.0,Assistant Director,Suzanne Schiffman
1677,Directing,1.0,Script Supervisor,Pamela Alch
1715,Directing,1.0,Script Supervisor,Jane Goldsmith
1717,Directing,1.0,Script Supervisor,Jane Goldsmith
1726,Directing,1.0,Script Supervisor,Cristina Weigmann
1731,Directing,1.0,Director,Sandra Nettelbeck
1738,Directing,1.0,Script Supervisor,Luca Kouimelis
1817,Directing,1.0,Script Supervisor,Sharron Reynolds
1824,Directing,1.0,Script Supervisor,Nancy Karlin
1829,Directing,1.0,Assistant Director,Suzanne Schiffman
1832,Directing,1.0,Script Supervisor,Carol Banker
1836,Directing,1.0,Director,Marina de Van
1843,Directing,1.0,Director,Ondi Timoner
1844,Directing,1.0,Script Supervisor,Lisa Vick
1845,Directing,1.0,Director,Julie Delpy
1853,Directing,1.0,Director,Jessica Yu
1877,Directing,1.0,Script Supervisor,Petra Jorgensen
1887,Directing,1.0,Director,Sofia Coppola
